product,proc_time,customer_id
parkas,15SEP15:15:41:38,731
umbrellas,15SEP15:15:41:38,745
blouses,15SEP15:15:41:38,174
sweaters,15SEP15:15:41:38,954
parkas,15SEP15:15:41:38,814
monograms,15SEP15:15:41:38,59
sweaters,15SEP15:15:41:38,101
parkas,15SEP15:15:41:38,395
blouses,15SEP15:15:41:38,627
pajamas,15SEP15:15:41:38,604
blouses,15SEP15:15:41:38,535
monograms,15SEP15:15:41:39,442
sweaters,15SEP15:15:41:39,304
sweaters,15SEP15:15:41:39,618
belts,15SEP15:15:41:39,223
belts,15SEP15:15:41:39,110
parkas,15SEP15:15:41:39,647
belts,15SEP15:15:41:39,651
blouses,15SEP15:15:41:39,237
blouses,15SEP15:15:41:39,239
sweaters,15SEP15:15:41:39,279
umbrellas,15SEP15:15:41:39,989
monograms,15SEP15:15:41:39,940
monograms,15SEP15:15:41:39,854
blouses,15SEP15:15:41:40,776
pajamas,15SEP15:15:41:40,904
belts,15SEP15:15:41:40,538
pajamas,15SEP15:15:41:40,992
pajamas,15SEP15:15:41:40,521
belts,15SEP15:15:41:40,897
pajamas,15SEP15:15:41:40,417
monograms,15SEP15:15:41:40,618
sweaters,15SEP15:15:41:40,924
parkas,15SEP15:15:41:40,301
blouses,15SEP15:15:41:40,895
pajamas,15SEP15:15:41:40,150
belts,15SEP15:15:41:40,701
monograms,15SEP15:15:41:40,771
umbrellas,15SEP15:15:41:40,93
blouses,15SEP15:15:41:40,739
parkas,15SEP15:15:41:41,769
sweaters,15SEP15:15:41:41,745
sweaters,15SEP15:15:41:41,700
monograms,15SEP15:15:41:41,573
belts,15SEP15:15:41:41,543
monograms,15SEP15:15:41:41,43
blouses,15SEP15:15:41:41,336
sweaters,15SEP15:15:41:41,164
parkas,15SEP15:15:41:41,764
sweaters,15SEP15:15:41:41,44
parkas,15SEP15:15:41:41,352
blouses,15SEP15:15:41:41,310
pajamas,15SEP15:15:41:41,221
pajamas,15SEP15:15:41:41,155
monograms,15SEP15:15:41:41,654
sweaters,15SEP15:15:41:41,163
blouses,15SEP15:15:41:41,710
pajamas,15SEP15:15:41:42,364
sweaters,15SEP15:15:41:42,303
blouses,15SEP15:15:41:42,687
belts,15SEP15:15:41:42,695
umbrellas,15SEP15:15:41:42,411
belts,15SEP15:15:41:42,486
belts,15SEP15:15:41:42,352
monograms,15SEP15:15:41:42,725
monograms,15SEP15:15:41:42,432
belts,15SEP15:15:41:43,29
blouses,15SEP15:15:41:43,580
monograms,15SEP15:15:41:43,810
sweaters,15SEP15:15:41:43,624
umbrellas,15SEP15:15:41:43,328
blouses,15SEP15:15:41:43,299
sweaters,15SEP15:15:41:43,624
sweaters,15SEP15:15:41:43,436
blouses,15SEP15:15:41:43,664
monograms,15SEP15:15:41:43,84
sweaters,15SEP15:15:41:44,350
monograms,15SEP15:15:41:44,457
umbrellas,15SEP15:15:41:44,764
sweaters,15SEP15:15:41:44,571
sweaters,15SEP15:15:41:44,537
belts,15SEP15:15:41:44,473
sweaters,15SEP15:15:41:44,890
parkas,15SEP15:15:41:44,622
belts,15SEP15:15:41:44,579
sweaters,15SEP15:15:41:44,373
sweaters,15SEP15:15:41:44,725
sweaters,15SEP15:15:41:44,381
parkas,15SEP15:15:41:44,831
belts,15SEP15:15:41:44,251
belts,15SEP15:15:41:44,222
blouses,15SEP15:15:41:44,313
parkas,15SEP15:15:41:45,122
umbrellas,15SEP15:15:41:45,349
sweaters,15SEP15:15:41:45,623
sweaters,15SEP15:15:41:45,346
blouses,15SEP15:15:41:45,24
pajamas,15SEP15:15:41:45,199
umbrellas,15SEP15:15:41:45,489
monograms,15SEP15:15:41:45,61
umbrellas,15SEP15:15:41:45,999
belts,15SEP15:15:41:45,834
blouses,15SEP15:15:41:45,376
pajamas,15SEP15:15:41:45,402
blouses,15SEP15:15:41:45,847
pajamas,15SEP15:15:41:45,907
parkas,15SEP15:15:41:45,2
blouses,15SEP15:15:41:45,549
pajamas,15SEP15:15:41:45,965
blouses,15SEP15:15:41:45,771
parkas,15SEP15:15:41:45,659
blouses,15SEP15:15:41:45,35
blouses,15SEP15:15:41:45,644
sweaters,15SEP15:15:41:45,932
sweaters,15SEP15:15:41:45,419
umbrellas,15SEP15:15:41:45,437
sweaters,15SEP15:15:41:45,193
blouses,15SEP15:15:41:45,986
pajamas,15SEP15:15:41:45,788
blouses,15SEP15:15:41:45,244
sweaters,15SEP15:15:41:45,262
pajamas,15SEP15:15:41:46,567
blouses,15SEP15:15:41:46,572
umbrellas,15SEP15:15:41:46,270
blouses,15SEP15:15:41:46,983
pajamas,15SEP15:15:41:46,11
blouses,15SEP15:15:41:46,174
pajamas,15SEP15:15:41:46,398
umbrellas,15SEP15:15:41:46,345
sweaters,15SEP15:15:41:46,259
pajamas,15SEP15:15:41:46,270
sweaters,15SEP15:15:41:46,147
belts,15SEP15:15:41:46,675
umbrellas,15SEP15:15:41:46,986
blouses,15SEP15:15:41:46,337
belts,15SEP15:15:41:46,531
blouses,15SEP15:15:41:46,845
umbrellas,15SEP15:15:41:47,153
parkas,15SEP15:15:41:47,7
blouses,15SEP15:15:41:47,716
sweaters,15SEP15:15:41:47,845
pajamas,15SEP15:15:41:47,873
pajamas,15SEP15:15:41:47,415
umbrellas,15SEP15:15:41:47,924
umbrellas,15SEP15:15:41:47,410
pajamas,15SEP15:15:41:47,883
blouses,15SEP15:15:41:47,860
sweaters,15SEP15:15:41:47,15
umbrellas,15SEP15:15:41:47,476
sweaters,15SEP15:15:41:47,210
sweaters,15SEP15:15:41:47,791
belts,15SEP15:15:41:47,509
pajamas,15SEP15:15:41:47,133
sweaters,15SEP15:15:41:47,418
belts,15SEP15:15:41:47,2
sweaters,15SEP15:15:41:47,541
sweaters,15SEP15:15:41:48,939
blouses,15SEP15:15:41:48,22
parkas,15SEP15:15:41:48,110
parkas,15SEP15:15:41:48,354
umbrellas,15SEP15:15:41:48,684
sweaters,15SEP15:15:41:48,15
blouses,15SEP15:15:41:48,786
sweaters,15SEP15:15:41:48,212
sweaters,15SEP15:15:41:48,19
sweaters,15SEP15:15:41:48,603
sweaters,15SEP15:15:41:48,118
sweaters,15SEP15:15:41:48,186
pajamas,15SEP15:15:41:48,917
umbrellas,15SEP15:15:41:48,132
blouses,15SEP15:15:41:48,63
sweaters,15SEP15:15:41:48,452
umbrellas,15SEP15:15:41:48,394
pajamas,15SEP15:15:41:49,612
parkas,15SEP15:15:41:49,424
belts,15SEP15:15:41:49,315
sweaters,15SEP15:15:41:49,219
umbrellas,15SEP15:15:41:49,755
umbrellas,15SEP15:15:41:49,391
blouses,15SEP15:15:41:49,603
pajamas,15SEP15:15:41:49,667
belts,15SEP15:15:41:49,321
sweaters,15SEP15:15:41:49,858
blouses,15SEP15:15:41:49,129
parkas,15SEP15:15:41:49,151
parkas,15SEP15:15:41:49,182
sweaters,15SEP15:15:41:49,383
sweaters,15SEP15:15:41:49,793
umbrellas,15SEP15:15:41:49,410
monograms,15SEP15:15:41:49,986
parkas,15SEP15:15:41:49,457
sweaters,15SEP15:15:41:49,730
belts,15SEP15:15:41:49,57
sweaters,15SEP15:15:41:50,113
belts,15SEP15:15:41:50,948
belts,15SEP15:15:41:50,6
blouses,15SEP15:15:41:50,473
monograms,15SEP15:15:41:50,605
blouses,15SEP15:15:41:50,804
belts,15SEP15:15:41:50,608
parkas,15SEP15:15:41:50,535
blouses,15SEP15:15:41:50,789
parkas,15SEP15:15:41:50,600
monograms,15SEP15:15:41:50,95
pajamas,15SEP15:15:41:50,963
blouses,15SEP15:15:41:50,249
umbrellas,15SEP15:15:41:50,309
monograms,15SEP15:15:41:50,901
pajamas,15SEP15:15:41:50,338
blouses,15SEP15:15:41:51,829
